"word" "n" "prob"
"288" "years" 681 0.000451071344119745
"289" "house" 672 0.000445110048823008
"290" "true" 671 0.000444447682678927
"291" "ya" 670 0.000443785316534845
"292" "saw" 669 0.000443122950390763
"293" "favorite" 665 0.000440473485814435
"294" "read" 658 0.000435836922805862
"295" "name" 651 0.000431200359797289
"296" "friend" 648 0.000429213261365044
"297" "sleep" 648 0.000429213261365044
"298" "following" 647 0.000428550895220962
"299" "let's" 647 0.000428550895220962
"300" "looks" 645 0.000427226162932798
"301" "he's" 641 0.000424576698356471
"302" "everything" 640 0.000423914332212389
"303" "guy" 639 0.000423251966068307
"304" "o" 638 0.000422589599924225
"305" "making" 636 0.000421264867636062
"306" "song" 636 0.000421264867636062
"307" "person" 635 0.00042060250149198
"308" "dont" 632 0.000418615403059734
"309" "might" 625 0.000413978840051161
"310" "through" 615 0.000407355178610343
"311" "6" 612 0.000405368080178097
"312" "book" 611 0.000404705714034015
"313" "mean" 610 0.000404043347889933
"314" "doesn't" 608 0.00040271861560177
"315" "must" 608 0.00040271861560177
"316" "end" 607 0.000402056249457688
"317" "stay" 605 0.000400731517169524
"318" "food" 602 0.000398744418737278
"319" "actually" 598 0.000396094954160951
"320" "family" 596 0.000394770221872787
"321" "ass" 593 0.000392783123440542
"322" "open" 592 0.00039212075729646
"323" "until" 592 0.00039212075729646
"324" "movie" 589 0.000390133658864214
"325" "hit" 584 0.000386821828143805
"326" "which" 584 0.000386821828143805
"327" "anything" 583 0.000386159461999723
"328" "omg" 583 0.000386159461999723
"329" "fuck" 580 0.000384172363567478
"330" "money" 578 0.000382847631279314
"331" "few" 577 0.000382185265135232
"332" "n" 573 0.000379535800558905
"333" "phone" 572 0.000378873434414823
"334" "mom" 570 0.000377548702126659
"335" "both" 566 0.000374899237550332
"336" "class" 566 0.000374899237550332
"337" "change" 564 0.000373574505262168
"338" "crazy" 564 0.000373574505262168
"339" "guess" 564 0.000373574505262168
"340" "sounds" 563 0.000372912139118086
"341" "funny" 561 0.000371587406829922
"342" "kids" 561 0.000371587406829922
"343" "video" 556 0.000368275576109513
"344" "b" 551 0.000364963745389104
"345" "playing" 547 0.000362314280812776
"346" "such" 543 0.000359664816236449
"347" "baby" 542 0.000359002450092367
"348" "season" 542 0.000359002450092367
"349" "i'd" 541 0.000358340083948285
"350" "damn" 539 0.000357015351660121
"351" "enough" 537 0.000355690619371958
"352" "congrats" 529 0.000350391690219303
"353" "part" 526 0.000348404591787057
"354" "thinking" 525 0.000347742225642975
"355" "own" 524 0.000347079859498894
"356" "place" 524 0.000347079859498894
"357" "run" 524 0.000347079859498894
"358" "summer" 524 0.000347079859498894
"359" "30" 523 0.000346417493354812
"360" "head" 523 0.000346417493354812
"361" "there's" 522 0.00034575512721073
"362" "news" 520 0.000344430394922566
"363" "without" 518 0.000343105662634402
"364" "support" 517 0.000342443296490321
"365" "7" 515 0.000341118564202157
"366" "gotta" 515 0.000341118564202157
"367" "meet" 515 0.000341118564202157
"368" "enjoy" 512 0.000339131465769911
"369" "hi" 511 0.000338469099625829
"370" "talking" 511 0.000338469099625829
"371" "since" 508 0.000336482001193584
"372" "believe" 506 0.00033515726890542
"373" "finally" 506 0.00033515726890542
"374" "remember" 506 0.00033515726890542
"375" "far" 505 0.000334494902761338
"376" "hot" 504 0.000333832536617256
"377" "cause" 501 0.000331845438185011
"378" "high" 498 0.000329858339752765
"379" "word" 498 0.000329858339752765
"380" "stuff" 496 0.000328533607464602
"381" "r" 495 0.00032787124132052
"382" "went" 495 0.00032787124132052
"383" "mind" 494 0.000327208875176438
"384" "says" 493 0.000326546509032356
"385" "8" 492 0.000325884142888274
"386" "ha" 492 0.000325884142888274
"387" "early" 491 0.000325221776744192
"388" "t" 491 0.000325221776744192
"389" "else" 490 0.00032455941060011
"390" "times" 489 0.000323897044456029
"391" "city" 487 0.000322572312167865
"392" "p" 485 0.000321247579879701
"393" "luck" 482 0.000319260481447456
"394" "email" 480 0.000317935749159292
"395" "followers" 480 0.000317935749159292
"396" "business" 477 0.000315948650727046
"397" "least" 474 0.000313961552294801
"398" "bring" 472 0.000312636820006637
"399" "left" 472 0.000312636820006637
"400" "eat" 469 0.000310649721574391
"401" "hell" 468 0.000309987355430309
"402" "tweets" 468 0.000309987355430309
"403" "heard" 467 0.000309324989286228
"404" "heart" 467 0.000309324989286228
"405" "almost" 466 0.000308662623142146
"406" "care" 465 0.000308000256998064
"407" "needs" 463 0.0003066755247099
"408" "probably" 463 0.0003066755247099
"409" "face" 462 0.000306013158565818
"410" "ask" 459 0.000304026060133573
"411" "facebook" 459 0.000304026060133573
"412" "fans" 458 0.000303363693989491
"413" "isn't" 458 0.000303363693989491
"414" "hours" 455 0.000301376595557245
"415" "girls" 453 0.000300051863269082
"416" "myself" 451 0.000298727130980918
"417" "idea" 450 0.000298064764836836
"418" "send" 448 0.000296740032548672
"419" "full" 447 0.00029607766640459
"420" "bed" 444 0.000294090567972345
"421" "car" 440 0.000291441103396017
"422" "seen" 436 0.00028879163881969
"423" "okay" 432 0.000286142174243363
"424" "saturday" 430 0.000284817441955199
"425" "feeling" 428 0.000283492709667035
"426" "seeing" 428 0.000283492709667035
"427" "we'll" 428 0.000283492709667035
"428" "wrong" 427 0.000282830343522953
"429" "kind" 426 0.000282167977378871
"430" "post" 425 0.00028150561123479
"431" "lunch" 422 0.000279518512802544
"432" "fan" 421 0.000278856146658462
"433" "top" 419 0.000277531414370298
"434" "taking" 418 0.000276869048226217
"435" "bitch" 417 0.000276206682082135
"436" "hour" 417 0.000276206682082135
"437" "sweet" 417 0.000276206682082135
"438" "black" 416 0.000275544315938053
"439" "dude" 415 0.000274881949793971
"440" "lmao" 413 0.000273557217505807
"441" "social" 412 0.000272894851361725
"442" "rock" 411 0.000272232485217644
"443" "used" 410 0.000271570119073562
"444" "lost" 409 0.00027090775292948
"445" "text" 407 0.000269583020641316
"446" "they're" 407 0.000269583020641316
"447" "9" 406 0.000268920654497234
"448" "story" 405 0.000268258288353152
"449" "called" 404 0.000267595922209071
"450" "haven't" 404 0.000267595922209071
"451" "la" 403 0.000266933556064989
"452" "won't" 403 0.000266933556064989
"453" "buy" 402 0.000266271189920907
"454" "late" 402 0.000266271189920907
"455" "c" 401 0.000265608823776825
"456" "once" 401 0.000265608823776825
"457" "sunday" 400 0.000264946457632743
"458" "bro" 399 0.000264284091488661
"459" "gets" 399 0.000264284091488661
"460" "monday" 399 0.000264284091488661
"461" "coffee" 398 0.000263621725344579
"462" "room" 397 0.000262959359200498
"463" "11" 396 0.000262296993056416
"464" "cant" 393 0.00026030989462417
"465" "told" 392 0.000259647528480088
"466" "together" 391 0.000258985162336006
"467" "hair" 390 0.000258322796191925
"468" "thats" 390 0.000258322796191925
"469" "whole" 389 0.000257660430047843
"470" "yesterday" 389 0.000257660430047843
"471" "break" 388 0.000256998063903761
"472" "fucking" 387 0.000256335697759679
"473" "red" 387 0.000256335697759679
"474" "sad" 386 0.000255673331615597
"475" "course" 385 0.000255010965471515
"476" "point" 385 0.000255010965471515
"477" "forget" 384 0.000254348599327433
"478" "meeting" 384 0.000254348599327433
"479" "sometimes" 381 0.000252361500895188
"480" "2012" 378 0.000250374402462942
"481" "dinner" 378 0.000250374402462942
"482" "reading" 377 0.00024971203631886
"483" "definitely" 376 0.000249049670174779
"484" "event" 376 0.000249049670174779
"485" "perfect" 375 0.000248387304030697
"486" "pick" 374 0.000247724937886615
"487" "listening" 372 0.000246400205598451
"488" "waiting" 372 0.000246400205598451
"489" "12" 370 0.000245075473310287
"490" "media" 369 0.000244413107166206
"491" "super" 369 0.000244413107166206
"492" "came" 368 0.000243750741022124
"493" "yourself" 367 0.000243088374878042
"494" "found" 365 0.000241763642589878
"495" "join" 364 0.000241101276445796
"496" "seriously" 363 0.000240438910301714
"497" "games" 361 0.000239114178013551
"498" "state" 361 0.000239114178013551
"499" "tired" 361 0.000239114178013551
"500" "saying" 360 0.000238451811869469
"501" "interesting" 359 0.000237789445725387
"502" "half" 357 0.000236464713437223
"503" "goes" 356 0.000235802347293141
"504" "drink" 355 0.00023513998114906
"505" "problem" 355 0.00023513998114906
"506" "started" 353 0.000233815248860896
"507" "moment" 352 0.000233152882716814
"508" "set" 352 0.000233152882716814
"509" "20" 351 0.000232490516572732
"510" "comes" 350 0.00023182815042865
"511" "special" 350 0.00023182815042865
"512" "leave" 349 0.000231165784284568
"513" "line" 349 0.000231165784284568
"514" "hahaha" 347 0.000229841051996405
"515" "tv" 347 0.000229841051996405
"516" "totally" 346 0.000229178685852323
"517" "agree" 343 0.000227191587420077
"518" "boy" 343 0.000227191587420077
"519" "starting" 343 0.000227191587420077
"520" "words" 343 0.000227191587420077
"521" "question" 342 0.000226529221275995
"522" "weather" 340 0.000225204488987832
"523" "white" 339 0.00022454212284375
"524" "beer" 334 0.000221230292123341
"525" "using" 334 0.000221230292123341
"526" "less" 333 0.000220567925979259
"527" "during" 331 0.000219243193691095
"528" "you'll" 330 0.000218580827547013
"529" "chance" 329 0.000217918461402931
"530" "info" 328 0.000217256095258849
"531" "seems" 328 0.000217256095258849
"532" "minutes" 327 0.000216593729114768
"533" "move" 327 0.000216593729114768
"534" "weeks" 327 0.000216593729114768
"535" "bout" 326 0.000215931362970686
"536" "ah" 325 0.000215268996826604
"537" "month" 325 0.000215268996826604
"538" "wanted" 325 0.000215268996826604
"539" "ago" 324 0.000214606630682522
"540" "gone" 324 0.000214606630682522
"541" "yea" 324 0.000214606630682522
"542" "loved" 323 0.00021394426453844
"543" "cute" 322 0.000213281898394358
"544" "walk" 322 0.000213281898394358
"545" "outside" 321 0.000212619532250276
"546" "wants" 321 0.000212619532250276
"547" "wonder" 320 0.000211957166106195
"548" "each" 319 0.000211294799962113
"549" "bit" 318 0.000210632433818031
"550" "dream" 317 0.000209970067673949
"551" "either" 317 0.000209970067673949
"552" "future" 316 0.000209307701529867
"553" "hello" 315 0.000208645335385785
"554" "later" 315 0.000208645335385785
"555" "online" 314 0.000207982969241703
"556" "rest" 313 0.000207320603097621
"557" "chicago" 312 0.00020665823695354
"558" "second" 312 0.00020665823695354
"559" "college" 311 0.000205995870809458
"560" "wonderful" 310 0.000205333504665376
"561" "learn" 309 0.000204671138521294
"562" "side" 309 0.000204671138521294
"563" "1st" 308 0.000204008772377212
"564" "means" 306 0.000202684040089048
"565" "list" 305 0.000202021673944967
"566" "missed" 305 0.000202021673944967
"567" "ugh" 304 0.000201359307800885
"568" "between" 303 0.000200696941656803
"569" "yo" 303 0.000200696941656803
"570" "different" 302 0.000200034575512721
"571" "others" 302 0.000200034575512721
"572" "sick" 302 0.000200034575512721
"573" "happen" 301 0.000199372209368639
"574" "water" 301 0.000199372209368639
"575" "dog" 300 0.000198709843224557
"576" "vs" 300 0.000198709843224557
"577" "christmas" 299 0.000198047477080475
"578" "beat" 298 0.000197385110936394
"579" "instead" 298 0.000197385110936394
"580" "page" 298 0.000197385110936394
"581" "spring" 298 0.000197385110936394
"582" "men" 297 0.000196722744792312
"583" "mine" 297 0.000196722744792312
"584" "plan" 297 0.000196722744792312
"585" "tickets" 297 0.000196722744792312
"586" "till" 297 0.000196722744792312
"587" "close" 296 0.00019606037864823
"588" "100" 295 0.000195398012504148
"589" "re" 295 0.000195398012504148
"590" "running" 295 0.000195398012504148
"591" "ill" 293 0.000194073280215984
"592" "she's" 293 0.000194073280215984
"593" "turn" 292 0.000193410914071902
"594" "writing" 292 0.000193410914071902
"595" "site" 290 0.000192086181783739
"596" "office" 289 0.000191423815639657
"597" "listen" 288 0.000190761449495575
"598" "drive" 287 0.000190099083351493
"599" "town" 287 0.000190099083351493
"600" "trip" 287 0.000190099083351493
"601" "dance" 286 0.000189436717207411
"602" "dm" 286 0.000189436717207411
"603" "visit" 286 0.000189436717207411
"604" "rain" 285 0.000188774351063329
"605" "women" 285 0.000188774351063329
"606" "stupid" 284 0.000188111984919248
"607" "boys" 283 0.000187449618775166
"608" "cold" 283 0.000187449618775166
"609" "cuz" 283 0.000187449618775166
"610" "deal" 281 0.000186124886487002
"611" "fall" 281 0.000186124886487002
"612" "past" 281 0.000186124886487002
"613" "students" 281 0.000186124886487002
"614" "appreciate" 280 0.00018546252034292
"615" "matter" 279 0.000184800154198838
"616" "shout" 279 0.000184800154198838
"617" "took" 279 0.000184800154198838
"618" "huge" 278 0.000184137788054756
"619" "mad" 278 0.000184137788054756
"620" "busy" 277 0.000183475421910675
"621" "number" 277 0.000183475421910675
"622" "austin" 276 0.000182813055766593
